text,category
My neighbor has extremely loud music every night and it goes on past midnight.,Noise
The power keeps tripping in my kitchen every time I turn on the microwave.,Electrical
The water has been leaking from the ceiling in my kitchen since last night and the floor is getting wet.,Plumbing
The thermostat display is blank and I can't control the temperature anymore.,Heating/Cooling
There is constant shouting and loud parties coming from the unit next door.,Noise
"My bedroom ceiling has a water stain that keeps spreading, I think there's a leak above it.",Plumbing
The internet is extremely slow and videos keep buffering nonstop.,Internet
"My bathroom ceiling has a water stain that keeps spreading, I think there's a leak above it.",Plumbing
"I found scratch marks around my front door lock this morning, it looks like a forced entry attempt.",Security
The Wi-Fi has been down since yesterday and I can't get any internet connection at all.,Internet
The water has been leaking from the ceiling in my living room since last night and the floor is getting wet.,Plumbing
The floor tiles in my bedroom are cracked and coming loose.,Structural
The faucet in my kitchen won't turn off and keeps running.,Plumbing
The dryer is not heating up so my clothes stay wet after a full cycle.,Appliance
The stove burners won't light no matter how many times I try.,Appliance
"My living room ceiling has a water stain that keeps spreading, I think there's a leak above it.",Plumbing
My refrigerator stopped cooling and all my food is starting to spoil.,Appliance
There has been no water coming out of any tap in my unit since this morning.,Plumbing
"There are mice in my bathroom, I can hear them scratching at night.",Cleaning
I have had no electricity in half my apartment since yesterday evening.,Electrical
"There is a slow drip coming from under the bathroom sink, it's been going on for two days.",Plumbing
"I can see an exposed electrical wire hanging near the bathroom ceiling, it looks dangerous.",Electrical
"Someone tried to enter my apartment at night, I heard the door handle being forced.",Security
"The router in the hallway seems to be broken, none of the lights are on.",Internet
The light in my bedroom keeps flickering constantly and won't stay on.,Electrical
"My internet connection keeps dropping every few minutes, very frustrating for work calls.",Internet
There has been no water coming out of any tap in my unit since this morning.,Plumbing
The lobby floor has been dirty and sticky for days now.,Cleaning
"There is a lot of noise coming from the kitchen above mine every night, hard to sleep.",Noise
The internet is extremely slow and videos keep buffering nonstop.,Internet
My refrigerator stopped cooling and all my food is starting to spoil.,Appliance
The light in my kitchen keeps flickering constantly and won't stay on.,Electrical
The lobby floor has been dirty and sticky for days now.,Cleaning
The stove burners won't light no matter how many times I try.,Appliance
The shower in my bedroom has almost no water pressure anymore.,Plumbing
"I can see an exposed electrical wire hanging near the bedroom ceiling, it looks dangerous.",Electrical
The cabinet door in my kitchen fell off its hinges and needs repair.,Maintenance
The AC is not cooling at all even though it's running constantly.,Heating/Cooling
Water is leaking from the pipe behind the kitchen wall and it's starting to smell musty.,Plumbing
The outlet in my bedroom is not working and the switch feels warm to touch.,Electrical
"The security camera in the lobby has been pointed at the wall for a week, seems broken.",Security
I have had no electricity in half my apartment since yesterday evening.,Electrical
There is constant shouting and loud parties coming from the unit next door.,Noise
"There was a stranger loitering near the parking lot for over an hour, very suspicious.",Security
The cabinet door in my living room fell off its hinges and needs repair.,Maintenance
The lobby floor has been dirty and sticky for days now.,Cleaning
The AC is not cooling at all even though it's running constantly.,Heating/Cooling
"There was a stranger loitering near the parking lot for over an hour, very suspicious.",Security
The thermostat display is blank and I can't control the temperature anymore.,Heating/Cooling
The outlet in my bathroom is not working and the switch feels warm to touch.,Electrical
The water has been leaking from the ceiling in my bedroom since last night and the floor is getting wet.,Plumbing
The cabinet door in my bedroom fell off its hinges and needs repair.,Maintenance
The bedroom drain is completely clogged and water won't go down at all.,Plumbing
The heater in my bedroom stopped working and it's freezing in here.,Heating/Cooling
"There was a stranger loitering near the parking lot for over an hour, very suspicious.",Security
My neighbor has extremely loud music every night and it goes on past midnight.,Noise
The doorbell has not been working for weeks now.,Maintenance
The thermostat display is blank and I can't control the temperature anymore.,Heating/Cooling
"There are mice in my bedroom, I can hear them scratching at night.",Cleaning
There has been no water coming out of any tap in my unit since this morning.,Plumbing
The hallway trash has not been collected in over a week and it's starting to smell.,Cleaning
The power keeps tripping in my living room every time I turn on the microwave.,Electrical
My refrigerator stopped cooling and all my food is starting to spoil.,Appliance
My neighbor has extremely loud music every night and it goes on past midnight.,Noise
The living room drain is completely clogged and water won't go down at all.,Plumbing
"My kitchen ceiling has a water stain that keeps spreading, I think there's a leak above it.",Plumbing
There is a large crack running across my kitchen wall that seems to be getting bigger.,Structural
There is mold growing in the kitchen corner near the window.,Cleaning
"There was a stranger loitering near the parking lot for over an hour, very suspicious.",Security
The light in my bathroom keeps flickering constantly and won't stay on.,Electrical
The stove burners won't light no matter how many times I try.,Appliance
"The security camera in the lobby has been pointed at the wall for a week, seems broken.",Security
I have had no electricity in half my apartment since yesterday evening.,Electrical
